path,kontras0,dissimilarity0,homogenitas0,entropi0,asm0,energi0,correlation0,kontras45,dissimilarity45,homogenitas45,entropi45,asm45,energi45,correlation45,kontras90,dissimilarity90,homogenitas90,entropi90,asm90,energi90,correlation90,kontras135,dissimilarity135,homogenitas135,entropi135,asm135,energi135,correlation135
Kulit_Normal,1247.4366347177847,21.667275216795982,0.08419072729033412,9.12701748263839,0.0001152315083981515,0.0001152315083981515,0.8095356292059608,2273.6543615676355,31.382806573957012,0.06022918524487782,9.39737963958513,8.798413248923972e-05,8.798413248923972e-05,0.6665291080280394,1537.8762512694036,24.69447265341651,0.06997235578782733,9.238885267297496,0.00010314974187624227,0.00010314974187624227,0.7752287816753688,1732.0483714483712,25.842966042966044,0.06900375381138431,9.244277148862905,0.00010257178656347056,0.00010257178656347056,0.7462268040223882
Kulit_Normal,1233.9885576633544,21.552544414333035,0.08404704874852864,9.13636694815147,0.0001141531707063198,0.0001141531707063198,0.8132027816725891,2213.760486630338,30.955518945634267,0.059263251954838114,9.390719196253865,8.858499617162179e-05,8.858499617162179e-05,0.6758523759343662,1484.9134366925064,24.343812805053112,0.06982165836697664,9.241838564507885,0.00010285386820806925,0.00010285386820806925,0.782171912710056,1671.0796143250686,25.301928374655645,0.07123000749747674,9.243296460558684,0.00010265123056257538,0.00010265123056257538,0.7574706823417254
Kulit_Normal,1255.6095514189806,21.595819346963687,0.08542528591645389,9.12520335077024,0.00011544662315251645,0.00011544662315251645,0.80930675716585,1719.287134180011,25.668691330756488,0.07137784397202156,9.246367435565636,0.00010235245619978044,0.00010235245619978044,0.7485334656863927,1493.5681029496818,24.356998264893,0.0701201135846765,9.239581200476337,0.00010308156274032501,0.00010308156274032501,0.7801623288299812,2226.499619771863,31.04866920152091,0.05975779485167848,9.392753776323211,8.839862430343714e-05,8.839862430343714e-05,0.6721848585127388
Kulit_Normal,1226.2610490900747,21.442881174491514,0.08460103925457582,9.127396028143295,0.00011521680088046078,0.00011521680088046078,0.8135907153286047,1670.2441346950043,25.376897598675136,0.07015432699860405,9.242048567410201,0.00010278163501211974,0.00010278163501211974,0.7576387922734267,1501.7253632570855,24.420227305423683,0.07036557163107018,9.241229130389463,0.00010291536408102913,0.00010291536408102913,0.7797058295637335,2214.584660096032,30.94478140005054,0.06008185479172229,9.395657708796577,8.814269444034107e-05,8.814269444034107e-05,0.6748147379217141
Kulit_Normal,1255.6095514189806,21.595819346963687,0.08542528591645389,9.12520335077024,0.00011544662315251645,0.00011544662315251645,0.80930675716585,1719.287134180011,25.668691330756488,0.07137784397202156,9.246367435565636,0.00010235245619978044,0.00010235245619978044,0.7485334656863927,1493.5681029496818,24.356998264893,0.0701201135846765,9.239581200476337,0.00010308156274032501,0.00010308156274032501,0.7801623288299812,2226.499619771863,31.04866920152091,0.05975779485167848,9.392753776323211,8.839862430343714e-05,8.839862430343714e-05,0.6721848585127388
Kulit_Normal,1619.632415722067,25.18018548505815,0.07430882568003086,9.231597666235121,0.00010389025219261205,0.00010389025219261205,0.7905996655816173,2245.87315354384,29.12698197587749,0.06262703521804144,9.33614653770774,9.350842184616054e-05,9.350842184616054e-05,0.7132449186403917,1308.303464357095,20.832778147901397,0.0902413521119196,9.03301652279238,0.00012656729846103042,0.00012656729846103042,0.8355140450504555,1840.8420898150862,24.29527443498679,0.08438377701211477,9.179411627132174,0.00010942138240051881,0.00010942138240051881,0.7613835567704595
Kulit_Normal,1873.97601552752,26.747400526826564,0.07302171849930002,9.282346409149067,9.876532484277649e-05,9.876532484277649e-05,0.782853348824886,2974.697043435941,34.1969826012897,0.0562813674725861,9.459153883896917,8.261788284724998e-05,8.261788284724998e-05,0.6631994109529595,1776.0981424601432,25.068743600994587,0.07757161376904731,9.211603928919654,0.00010601231556975098,0.00010601231556975098,0.8001896809305702,2099.7131495955027,25.820101467160292,0.0735610214935185,9.250795655217622,0.00010189357347389625,0.00010189357347389625,0.7539085671626621
Kulit_Normal,1341.1092971300911,23.866471902388728,0.06781945353896054,9.031121301508843,0.000126946349492854,0.000126946349492854,0.8124218756669486,1454.2464933287717,24.769928156004106,0.06686066101649568,9.042851547697229,0.000125483837705112,0.000125483837705112,0.7965820316045534,427.45274125527163,11.386256512031755,0.1287336300866267,8.588417331957015,0.00019678181269559326,0.00019678181269559326,0.9417405463164249,1549.8928084526244,25.276584867075666,0.06644188472905335,9.047939870789305,0.0001248496228548169,0.0001248496228548169,0.7840017048298875
Kulit_Normal,1352.0488271068637,23.961598609904428,0.06929374522841546,9.029630636775194,0.00012715872044178708,0.00012715872044178708,0.8108958830894011,1459.0576496674057,24.83796691113765,0.06429050998974259,9.04125589178052,0.00012567357179912977,0.00012567357179912977,0.7971488790891305,440.3611460165871,11.51118371450113,0.13026570403686588,8.584928109233642,0.00019763219076578272,0.00019763219076578272,0.9404931570284064,1555.1138747884938,25.361252115059226,0.06543956211718781,9.057480836518787,0.0001236683358098494,0.0001236683358098494,0.7858107032225442
Kulit_Normal,1351.7225828493335,23.952852750256238,0.06591162285450815,9.031400139384733,0.0001268919403001799,0.0001268919403001799,0.8125667625307427,1550.183179142136,25.262741799831797,0.06601001635225472,9.057458117212901,0.00012365947736505293,0.00012365947736505293,0.7856824388554999,434.13222724987423,11.460030165912517,0.12827624948985247,8.58231177123495,0.00019811072512696142,0.00019811072512696142,0.9410921796787202,1456.7659755268526,24.831917063222292,0.06517858812680394,9.042233342805936,0.00012554353577735148,0.00012554353577735148,0.7983426894355791
